,dhlabid,title,authors,urn,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype
220,100134713,Utredning av rekruttering til psykologiske basaldisipliner : forslag til satsingsprogram,"Magnussen , Svein",URN:NBN:no-nb_digibok_2013020609022,oai:nb.bibsys.no:999605383134702202,0f87ab65d1cd2125fc0589e317bdefc6,8212006530,Oslo,19960101,1996,"Norges forskningsråd, Medisin og helse",nob,"forskningspolitikk / forskning / undervisning / psykologi / medisin, / samfunnsvitenskapene, / psykologi, / rekruttering, / utredninger, / nfr, / mh",,,Uklassifisert,digibok
221,100043959,Utredning av muligheter for norske leveranser til vindkraftindustrien,"Tande , John Olav Giæver",URN:NBN:no-nb_digibok_2011030206024,oai:nb.bibsys.no:990006693264702202,6894d8f3a78d52ea5a5af90ccc88127a,8259417847,Trondheim,20000101,2000,SINTEF energiforskning,nob,vindkraft / industri / verdiskaping,,,Uklassifisert,digibok
222,100401415,Mer veg for pengene : en utredning av alternative organisasjonsmodeller for statlig vegproduksjon,"Ibenholt , Tone",URN:NBN:no-nb_digibok_2009101304127,oai:nb.bibsys.no:990109051624702202,143419d3ea55fc472e9f0153a50a3ba3,,Oslo,20010101,2001,Statskonsult,nob,konkuranseutsetting,,,Uklassifisert,digibok
223,100085343,"Reduksjon i utslippene av HFK, PFK og SF₆ : utredning av avgift som virkemiddel = Reduction of HFC, PFC and SF₆ emissions : evaluation of tax as an instrument","Weidemann , Fredrik",URN:NBN:no-nb_digibok_2012062608027,oai:nb.bibsys.no:990106859364702202,2b28d6c89bc8deb9be971cbbf0128c69,8276553958,Oslo,20010101,2001,Statens forurensningstilsyn,nob,Environmental Pollution / prevention & control,,,Uklassifisert,digibok
224,100351173,Innstilling fra utvalget til utredning av evalueringsspörsmål i 9-årig skole : (utvalget oppnevnt av Forsöksrådet for skoleverket 19. november 1960),"Gjessing , Hans-Jørgen",URN:NBN:no-nb_digibok_2017101308031,oai:nb.bibsys.no:990215859034702202,a2ffca456e9014da6dafa98c23112c62,,Oslo,19610101,1961,Skrivemaskinstua,nob,,372.9,,Faglitteratur,digibok
225,100561816,Retten til et liv uten vold : menns vold mot kvinner i nære relasjoner : utredning avgitt fra et utvalg oppnevnt ved kongelig resolusjon 29. august 2001 : avgitt til Justis- og politidepartementet 4. desember 2003,"Kapoor , Nita",URN:NBN:no-nb_digibok_2009073101043,oai:nb.bibsys.no:990321432814702202,fdc85f9b0860c733720af2f847f672e8,8258307460,,20030101,2003,"Statens forvaltningstjeneste, Informasjonsforvaltning",nob,Domestic Violence / Violence / Women / Violence against women / Violence against women / Domestic violence / kvinnemishandling / kvinner / barn / voldsutøvelse / krisesentre / barnevern / familievern / handlingsplaner / vold / mishandling / menn / parforhold / familier / familievold / incest / voldsutã¸velse,362.8292,,Faglitteratur,digibok
226,100259077,Rotenonbehandling av Steinkjervassdragene : en hydrologisk utredning av elver og munningsområde,"Bakkeli , Gisle",URN:NBN:no-nb_digibok_2015070808027,oai:nb.bibsys.no:990000777804702202,c4bca693e10da7351ead093064a1abf9,8278820015,Trondheim,19990101,1999,VESO Trondheim,nob,Rotenon / Vassdrag / Miljøvern,,,Uklassifisert,digibok
227,100211249,Utredning av konsekvenser av skipstrafikk i området Lofoten - Barentshavet,,URN:NBN:no-nb_digibok_2014063008021,oai:nb.bibsys.no:990416602184702202,db73f3a66c8ce02416433aab7b8b2b37,,Ålesund,20040101,2004,Kystdirektoratet,nob,,,,Uklassifisert,digibok
228,100244171,Organisert snøforsking i Norge : utredning avgitt september 1967 av,"Skaven-Haug , Sv. / Kolderup , Niels-Henr.",URN:NBN:no-nb_digibok_2015031708118,oai:nb.bibsys.no:991013671554702202,c2efe164d4fee4a5dc12ecdfd08587ea,,Oslo,19670101,1967,[s. n.],nob,,,,Uklassifisert,digibok
229,100355765,Fiskehandel og propaganda : instilling fra en av Fiskeridirektoratet i november 1932 opnevnt komite til utredning av spørsmålet om propaganda for økning av det innenlandske fiskeforbruk,"Heitmann , C.",URN:NBN:no-nb_digibok_2017110948151,oai:nb.bibsys.no:999704967104702202,d3dce448495abf2400a578c0d03a12a9,,Bergen,19330101,1933,Direktoratet,nob,fiskeforbruk / fiskepriser / markedsføring / reklame / innenlandsmarkedet / fiskeprodukter,,,Uklassifisert,digibok
